rank tag source timestamp
0 1373 5 1292882.575
0 1373 6 1292882.575
0 1373 7 1292882.575
0 1374 1 1292882.576
0 1374 2 1292882.576
0 1374 3 1292882.576
0 1374 4 1292882.576
0 1374 5 1292882.576
0 1374 6 1292882.576
0 1374 7 1292882.576
0 1375 1 1292882.577
0 1375 2 1292882.577
0 1375 3 1292882.577
0 1375 4 1292882.577
0 1375 5 1292882.577
0 1375 6 1292882.577
0 1375 7 1292882.577
0 1376 1 1292882.578
0 1376 2 1292882.578
0 1376 3 1292882.578
0 1376 4 1292882.578
0 1376 5 1292882.578
0 1376 6 1292882.578
0 1376 7 1292882.578
0 1377 1 1292882.58
0 1377 2 1292882.58
0 1377 3 1292882.58
0 1377 4 1292882.58
0 1377 5 1292882.58
0 1377 6 1292882.58
0 1377 7 1292882.58
0 1378 1 1292882.589
0 1378 2 1292882.589
0 1378 3 1292882.589
0 1378 4 1292882.589
0 1378 5 1292882.589
0 1378 6 1292882.589
0 1378 7 1292882.589
0 1379 1 1292882.603
0 1379 2 1292882.603
0 1379 3 1292882.603
0 1379 4 1292882.603
0 1379 5 1292882.603
0 1379 6 1292882.603
0 1379 7 1292882.603
0 1380 1 1292882.603
0 1380 3 1292882.603
0 1380 5 1292882.603
0 1380 7 1292882.603
0 1381 2 1292882.605
0 1381 3 1292882.605
0 1381 6 1292882.605
0 1381 7 1292882.605
0 1382 4 1292882.606
0 1382 5 1292882.606
0 1382 6 1292882.606
0 1382 7 1292882.606
0 1383 1 1292882.606
0 1383 2 1292882.606
0 1383 3 1292882.606
0 1383 4 1292882.606
0 1383 5 1292882.606
0 1383 6 1292882.606
0 1383 7 1292882.606
0 1384 1 1292882.606
0 1384 2 1292882.606
0 1384 3 1292882.606
0 1384 4 1292882.606
0 1384 5 1292882.606
0 1384 6 1292882.606
0 1384 7 1292882.606
0 1385 1 1292882.607
0 1385 2 1292882.607
0 1385 3 1292882.607
0 1385 4 1292882.607
0 1385 5 1292882.607
0 1385 6 1292882.607
0 1385 7 1292882.607
0 1386 1 1292882.624
0 1386 2 1292882.624
0 1386 3 1292882.624
0 1386 4 1292882.624
0 1386 5 1292882.624
0 1386 6 1292882.624
0 1386 7 1292882.624
0 1387 1 1292882.888
0 1387 2 1292882.888
0 1387 3 1292882.888
0 1387 4 1292882.888
0 1387 5 1292882.888
0 1387 6 1292882.888
0 1387 7 1292882.888
0 1388 1 1292882.893
0 1388 2 1292882.893
0 1388 3 1292882.893
0 1388 4 1292882.893
0 1388 5 1292882.893
0 1388 6 1292882.893
0 1388 7 1292882.893
0 1389 1 1292882.902
0 1389 2 1292882.902
0 1389 3 1292882.902
0 1389 4 1292882.902
0 1389 5 1292882.902
0 1389 6 1292882.902
0 1389 7 1292882.902
0 1390 7 1292883.457
0 1391 6 1292883.466
0 1391 7 1292883.466
0 1392 7 1292883.494
0 1393 5 1292883.495
0 1393 7 1292883.495
0 1394 7 1292883.503
0 1395 3 1292883.503
0 1395 7 1292883.503
0 1396 1 1292883.522
0 1396 2 1292883.522
0 1396 3 1292883.522
0 1396 4 1292883.522
0 1396 5 1292883.522
0 1396 6 1292883.522
0 1396 7 1292883.522
0 1397 1 1292883.523
0 1397 3 1292883.523
0 1397 5 1292883.523
0 1397 7 1292883.523
0 1398 2 1292883.523
0 1398 3 1292883.523
0 1398 6 1292883.523
0 1398 7 1292883.523
0 1399 4 1292883.524
0 1399 5 1292883.524
0 1399 6 1292883.524
0 1399 7 1292883.524
0 1400 1 1292883.524
0 1400 2 1292883.524
0 1400 3 1292883.524
0 1400 4 1292883.524
0 1400 5 1292883.524
0 1400 6 1292883.524
0 1400 7 1292883.524
0 1401 1 1292883.525
0 1401 2 1292883.525
0 1401 3 1292883.525
0 1401 4 1292883.525
0 1401 5 1292883.525
0 1401 6 1292883.525
0 1401 7 1292883.525
0 1402 1 1292883.525
0 1402 2 1292883.525
0 1402 3 1292883.525
0 1402 4 1292883.525
0 1402 5 1292883.525
0 1402 6 1292883.525
0 1402 7 1292883.525
0 1403 1 1292883.543
0 1403 2 1292883.543
0 1403 3 1292883.543
0 1403 4 1292883.543
0 1403 5 1292883.543
0 1403 6 1292883.543
0 1403 7 1292883.543
0 1404 7 1292883.686
0 1405 6 1292883.686
0 1405 7 1292883.686
0 1406 7 1292883.687
0 1407 5 1292883.687
0 1407 7 1292883.687
0 1408 7 1292883.689
0 1409 3 1292883.689
0 1409 7 1292883.689
0 1410 8 1292883.693
0 1410 9 1292883.693
0 1410 10 1292883.693
0 1410 11 1292883.693
0 1410 12 1292883.693
0 1410 13 1292883.693
0 1410 14 1292883.693
0 1410 15 1292883.693
0 1410 24 1292883.693
0 1410 25 1292883.693
0 1410 26 1292883.693
0 1410 27 1292883.693
0 1410 28 1292883.693
0 1410 29 1292883.693
0 1410 30 1292883.693
0 1410 31 1292883.693
0 1410 40 1292883.693
0 1410 41 1292883.693
0 1410 42 1292883.693
0 1410 43 1292883.693
0 1410 44 1292883.693
0 1410 45 1292883.693
0 1410 46 1292883.693
0 1410 47 1292883.693
0 1410 56 1292883.693
0 1410 57 1292883.693
0 1410 58 1292883.693
0 1410 59 1292883.693
0 1410 60 1292883.693
0 1410 61 1292883.693
0 1410 62 1292883.693
0 1410 63 1292883.693
0 1411 9 1292883.694
0 1411 11 1292883.694
0 1411 13 1292883.694
0 1411 15 1292883.694
0 1411 25 1292883.694
0 1411 27 1292883.694
0 1411 29 1292883.694
0 1411 31 1292883.694
0 1411 41 1292883.694
0 1411 43 1292883.694
0 1411 45 1292883.694
0 1411 47 1292883.694
0 1411 57 1292883.694
0 1411 59 1292883.694
0 1411 61 1292883.694
0 1411 63 1292883.694
0 1412 2 1292883.695
0 1412 4 1292883.695
0 1412 5 1292883.695
0 1413 1 1292883.697
0 1413 2 1292883.697
0 1413 3 1292883.697
0 1413 4 1292883.697
0 1413 5 1292883.697
0 1413 6 1292883.697
0 1413 7 1292883.697
0 1414 9 1292883.698
0 1414 11 1292883.698
0 1414 13 1292883.698
0 1414 15 1292883.698
